PA_ID,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes
491,75284,47238,28046,18877,3386,20189,0,1757,0,3029
492,74985,44556,30429,9940,23041,8992,0,2100,0,483
493,77975,46081,31894,8209,24364,10242,0,1226,0,2040
494,66944,45921,21023,17900,3751,19619,1308,2560,0,783
495,75483,41533,33950,8497,16655,10930,0,1084,0,4367
496,67430,48481,18949,23859,3690,17893,506,1392,0,1141
497,75470,49282,26188,21108,12978,11093,734,1484,0,1885
498,63089,37034,26055,12091,14640,6774,396,1686,0,1447
499,64728,40222,24506,9445,18141,8033,0,1479,0,3124
500,67511,48463,19048,16445,20307,9656,0,2055,0,0
501,72804,51728,21076,25562,13297,9180,0,1635,0,2054
502,69591,49408,20183,28076,6541,10561,0,1782,0,2448
503,67740,38914,28826,4468,21400,7768,0,1596,0,3682
504,67554,41468,26086,4206,17138,16973,1556,652,0,943
505,68798,51135,17663,12040,8228,27324,919,1195,0,1429
506,65571,40871,24700,7081,17409,11602,989,1530,0,2260
507,67068,41408,25660,7202,20169,9664,0,1889,0,2484
508,71443,48954,22489,19211,18997,7283,0,1490,0,1973
509,67689,49427,18262,24002,14058,9890,1477,0,0,0
510,75446,53045,22401,23313,10915,15369,565,1627,0,1256
511,78930,51869,27061,26692,9406,10864,808,2432,0,1667
512,75855,48578,27277,24313,11930,7943,0,2610,0,1782
513,77381,54724,22657,27685,5498,17735,0,1909,0,1897
514,84806,59530,25276,30719,10051,10814,0,2163,0,5783
515,77473,47742,29731,16361,21884,6943,542,1517,0,495
516,76288,55129,21159,23460,4891,23635,0,1200,0,1943
517,77306,57941,19365,28549,6448,20687,0,2257,0,0
518,67881,51203,16678,21130,16216,11433,670,1754,0,0
519,81548,60612,20936,26976,2675,28793,0,1932,0,236
520,76243,50188,26055,29639,7024,7759,724,3246,0,1796
521,75822,51458,24364,23396,17842,7271,0,1895,0,1054
522,64084,36518,27566,7886,18995,5189,762,0,0,3686
523,74532,44412,30120,16134,16326,9256,600,1928,0,168
524,71931,44187,27744,14588,17001,9865,881,1726,0,126
525,66918,43606,23312,20086,5850,12816,644,1714,0,2496
526,67200,43757,23443,15683,4116,21707,0,2251,0,0
527,70479,47304,23175,22261,7789,12242,0,4009,0,1003
528,70667,50239,20428,22047,16587,8211,564,1727,0,1103
529,62137,43815,18322,19793,13104,7338,0,3580,0,0
530,73849,50440,23409,26834,10244,8427,0,2753,0,2182
531,69081,40879,28202,13445,16189,6965,679,1342,0,2259
532,68937,44651,24286,18491,14913,7432,0,2004,0,1811
534,62879,39128,23751,9913,16697,9778,677,862,0,1201
535,66752,39498,27254,10247,16923,6342,0,1556,0,4430
536,73840,50284,23556,19577,19245,7600,0,1471,0,2391
537,61003,32470,28533,6833,12605,7039,0,1402,0,4591
538,72054,40196,31858,9580,17815,7120,0,2485,0,3196
539,68032,39852,28180,11316,15446,6323,0,1363,0,5404
