population_size,sex,age,ethnicity,pa_id
764,male,Age 85 and over,white,9
7435,female,Age 15 and below,white,9
1004,female,Age 16 to 17,white,9
730,female,Age 18 to 19,white,9
1730,female,Age 20 to 24,white,9
2207,female,Age 25 to 29,white,9
2483,female,Age 30 to 34,white,9
2973,female,Age 35 to 39,white,9
3253,female,Age 40 to 44,white,9
3473,female,Age 45 to 49,white,9
2918,female,Age 50 to 54,white,9
2373,female,Age 55 to 59,white,9
2619,female,Age 60 to 64,white,9
2177,female,Age 65 to 69,white,9
1869,female,Age 70 to 74,white,9
1629,female,Age 75 to 79,white,9
1356,female,Age 80 to 84,white,9
1468,female,Age 85 and over,white,9
557,male,Age 15 and below,mixed,9
38,male,Age 16 to 17,mixed,9
42,male,Age 18 to 19,mixed,9
59,male,Age 20 to 24,mixed,9
55,male,Age 25 to 29,mixed,9
51,male,Age 30 to 34,mixed,9
41,male,Age 35 to 39,mixed,9
40,male,Age 40 to 44,mixed,9
24,male,Age 45 to 49,mixed,9
31,male,Age 50 to 54,mixed,9
11,male,Age 55 to 59,mixed,9
13,male,Age 60 to 64,mixed,9
7,male,Age 65 to 69,mixed,9
5,male,Age 70 to 74,mixed,9
4,male,Age 75 to 79,mixed,9
4,male,Age 80 to 84,mixed,9
2,male,Age 85 and over,mixed,9
541,female,Age 15 and below,mixed,9
54,female,Age 16 to 17,mixed,9
29,female,Age 18 to 19,mixed,9
58,female,Age 20 to 24,mixed,9
61,female,Age 25 to 29,mixed,9
43,female,Age 30 to 34,mixed,9
57,female,Age 35 to 39,mixed,9
43,female,Age 40 to 44,mixed,9
55,female,Age 45 to 49,mixed,9
27,female,Age 50 to 54,mixed,9
16,female,Age 55 to 59,mixed,9
4,female,Age 60 to 64,mixed,9
8,female,Age 65 to 69,mixed,9
3,female,Age 70 to 74,mixed,9
2,female,Age 75 to 79,mixed,9
3,female,Age 80 to 84,mixed,9
3,female,Age 85 and over,mixed,9
735,male,Age 15 and below,asian,9
