N,age,constituency,ethnicity,sex
1797,Age 70 to 74,E14000533,white,male
1263,Age 75 to 79,E14000533,white,male
851,Age 80 to 84,E14000533,white,male
647,Age 85 and over,E14000533,white,male
7171,Age 15 and below,E14000533,white,female
1025,Age 16 to 17,E14000533,white,female
925,Age 18 to 19,E14000533,white,female
2290,Age 20 to 24,E14000533,white,female
2462,Age 25 to 29,E14000533,white,female
2410,Age 30 to 34,E14000533,white,female
2695,Age 35 to 39,E14000533,white,female
3213,Age 40 to 44,E14000533,white,female
3194,Age 45 to 49,E14000533,white,female
2926,Age 50 to 54,E14000533,white,female
2813,Age 55 to 59,E14000533,white,female
3127,Age 60 to 64,E14000533,white,female
2520,Age 65 to 69,E14000533,white,female
1818,Age 70 to 74,E14000533,white,female
1516,Age 75 to 79,E14000533,white,female
1192,Age 80 to 84,E14000533,white,female
1372,Age 85 and over,E14000533,white,female
112,Age 15 and below,E14000533,mixed,male
17,Age 16 to 17,E14000533,mixed,male
10,Age 18 to 19,E14000533,mixed,male
36,Age 20 to 24,E14000533,mixed,male
28,Age 25 to 29,E14000533,mixed,male
14,Age 30 to 34,E14000533,mixed,male
17,Age 35 to 39,E14000533,mixed,male
11,Age 40 to 44,E14000533,mixed,male
26,Age 45 to 49,E14000533,mixed,male
11,Age 50 to 54,E14000533,mixed,male
7,Age 55 to 59,E14000533,mixed,male
2,Age 60 to 64,E14000533,mixed,male
2,Age 65 to 69,E14000533,mixed,male
4,Age 70 to 74,E14000533,mixed,male
3,Age 75 to 79,E14000533,mixed,male
1,Age 80 to 84,E14000533,mixed,male
1,Age 85 and over,E14000533,mixed,male
97,Age 15 and below,E14000533,mixed,female
15,Age 16 to 17,E14000533,mixed,female
22,Age 18 to 19,E14000533,mixed,female
20,Age 20 to 24,E14000533,mixed,female
17,Age 25 to 29,E14000533,mixed,female
18,Age 30 to 34,E14000533,mixed,female
15,Age 35 to 39,E14000533,mixed,female
11,Age 40 to 44,E14000533,mixed,female
8,Age 45 to 49,E14000533,mixed,female
6,Age 50 to 54,E14000533,mixed,female
8,Age 55 to 59,E14000533,mixed,female
5,Age 60 to 64,E14000533,mixed,female
3,Age 65 to 69,E14000533,mixed,female
5,Age 70 to 74,E14000533,mixed,female
5,Age 75 to 79,E14000533,mixed,female
1,Age 80 to 84,E14000533,mixed,female
3,Age 85 and over,E14000533,mixed,female
74,Age 15 and below,E14000533,asian,male
7,Age 16 to 17,E14000533,asian,male
3,Age 18 to 19,E14000533,asian,male
17,Age 20 to 24,E14000533,asian,male
18,Age 25 to 29,E14000533,asian,male
17,Age 30 to 34,E14000533,asian,male
35,Age 35 to 39,E14000533,asian,male
35,Age 40 to 44,E14000533,asian,male
24,Age 45 to 49,E14000533,asian,male
8,Age 50 to 54,E14000533,asian,male
15,Age 55 to 59,E14000533,asian,male
7,Age 60 to 64,E14000533,asian,male
5,Age 65 to 69,E14000533,asian,male
5,Age 70 to 74,E14000533,asian,male
2,Age 75 to 79,E14000533,asian,male
1,Age 80 to 84,E14000533,asian,male
0,Age 85 and over,E14000533,asian,male
78,Age 15 and below,E14000533,asian,female
7,Age 16 to 17,E14000533,asian,female
6,Age 18 to 19,E14000533,asian,female
18,Age 20 to 24,E14000533,asian,female
27,Age 25 to 29,E14000533,asian,female
25,Age 30 to 34,E14000533,asian,female
40,Age 35 to 39,E14000533,asian,female
35,Age 40 to 44,E14000533,asian,female
24,Age 45 to 49,E14000533,asian,female
15,Age 50 to 54,E14000533,asian,female
12,Age 55 to 59,E14000533,asian,female
10,Age 60 to 64,E14000533,asian,female
7,Age 65 to 69,E14000533,asian,female
3,Age 70 to 74,E14000533,asian,female
0,Age 75 to 79,E14000533,asian,female
0,Age 80 to 84,E14000533,asian,female
0,Age 85 and over,E14000533,asian,female
11,Age 15 and below,E14000533,black,male
0,Age 16 to 17,E14000533,black,male
1,Age 18 to 19,E14000533,black,male
3,Age 20 to 24,E14000533,black,male
8,Age 25 to 29,E14000533,black,male
16,Age 30 to 34,E14000533,black,male
3,Age 35 to 39,E14000533,black,male
9,Age 40 to 44,E14000533,black,male
16,Age 45 to 49,E14000533,black,male
9,Age 50 to 54,E14000533,black,male
3,Age 55 to 59,E14000533,black,male
5,Age 60 to 64,E14000533,black,male
2,Age 65 to 69,E14000533,black,male
2,Age 70 to 74,E14000533,black,male
0,Age 75 to 79,E14000533,black,male
0,Age 80 to 84,E14000533,black,male
0,Age 85 and over,E14000533,black,male
13,Age 15 and below,E14000533,black,female
0,Age 16 to 17,E14000533,black,female
7,Age 18 to 19,E14000533,black,female
4,Age 20 to 24,E14000533,black,female
5,Age 25 to 29,E14000533,black,female
3,Age 30 to 34,E14000533,black,female
17,Age 35 to 39,E14000533,black,female
6,Age 40 to 44,E14000533,black,female
9,Age 45 to 49,E14000533,black,female
6,Age 50 to 54,E14000533,black,female
3,Age 55 to 59,E14000533,black,female
5,Age 60 to 64,E14000533,black,female
0,Age 65 to 69,E14000533,black,female
2,Age 70 to 74,E14000533,black,female
0,Age 75 to 79,E14000533,black,female
0,Age 80 to 84,E14000533,black,female
0,Age 85 and over,E14000533,black,female
4,Age 15 and below,E14000533,other,male
0,Age 16 to 17,E14000533,other,male
0,Age 18 to 19,E14000533,other,male
1,Age 20 to 24,E14000533,other,male
9,Age 25 to 29,E14000533,other,male
10,Age 30 to 34,E14000533,other,male
6,Age 35 to 39,E14000533,other,male
3,Age 40 to 44,E14000533,other,male
7,Age 45 to 49,E14000533,other,male
2,Age 50 to 54,E14000533,other,male
2,Age 55 to 59,E14000533,other,male
1,Age 60 to 64,E14000533,other,male
1,Age 65 to 69,E14000533,other,male
1,Age 70 to 74,E14000533,other,male
0,Age 75 to 79,E14000533,other,male
0,Age 80 to 84,E14000533,other,male
0,Age 85 and over,E14000533,other,male
2,Age 15 and below,E14000533,other,female
2,Age 16 to 17,E14000533,other,female
0,Age 18 to 19,E14000533,other,female
4,Age 20 to 24,E14000533,other,female
2,Age 25 to 29,E14000533,other,female
2,Age 30 to 34,E14000533,other,female
2,Age 35 to 39,E14000533,other,female
0,Age 40 to 44,E14000533,other,female
1,Age 45 to 49,E14000533,other,female
1,Age 50 to 54,E14000533,other,female
1,Age 55 to 59,E14000533,other,female
