PA_ID,electorate,votes,non_votes,con_votes,lab_votes,libdem_votes,green_votes,ukip_votes,plaid_votes,other_votes
339,63957,48791,15166,28474,7472,4913,1956,5467,0,509
340,61133,34828,26305,18199,10838,1962,1765,1557,0,507
341,70155,47218,22937,24467,11877,1490,1633,7600,0,151
343,81238,59253,21985,23249,8574,20415,2322,4321,0,372
344,68193,48125,20068,23252,14246,1827,1370,7133,0,297
346,79108,50728,28380,3367,39628,1490,1270,4973,0,0
349,70906,49676,21230,16114,24474,1298,1582,6058,0,150
350,61922,41738,20184,16378,17643,1390,2093,4060,0,174
351,81799,45048,36751,7791,24758,1529,3558,7082,0,330
352,64754,38196,26558,7997,20530,1296,1117,7256,0,0
353,69097,48291,20806,15887,23137,2569,2541,3706,0,451
354,61974,43357,18617,8083,13041,15948,3042,2997,0,246
355,64950,38423,26527,7729,18456,1495,3217,7104,0,422
356,75430,48068,27362,11034,29386,1233,1468,4290,0,657
357,73518,45942,27576,9628,0,2127,2533,3832,0,27822
358,63204,34522,28682,8848,16051,1507,1878,5950,0,288
359,72193,51548,20645,25505,0,2033,1174,8704,0,14132
360,76851,53926,22925,28700,11876,3987,0,9363,0,0
361,75905,45123,30782,10216,24312,1150,0,8903,0,542
362,69481,50540,18941,19206,5000,18123,2784,5427,0,0
363,73428,47426,26002,7056,28572,2497,5932,2013,0,1356
364,66913,42923,23990,9574,23907,2455,2429,3886,0,672
365,72290,48125,24165,11633,24347,3709,4077,3764,0,595
366,64580,40703,23877,8939,23856,2304,2974,2341,0,289
367,74234,51467,22767,28389,10200,2700,1976,8082,0,120
368,74121,46852,27269,19976,18533,1992,0,5721,0,630
370,70829,44263,26566,4245,0,1719,5372,2510,0,30417
371,61908,38403,23505,1802,31222,899,956,3445,0,79
372,61549,40974,20575,4098,0,2454,2140,3375,0,28907
373,63651,41031,22620,2710,0,959,996,3475,0,32891
375,59314,38574,20740,5534,15948,751,689,6269,8853,530
377,75217,52020,23197,25762,16579,2130,1845,5704,0,0
378,74870,50336,24534,25755,9077,2255,1549,10778,0,922
379,66374,48063,18311,26093,5902,6469,2435,7164,0,0
380,67329,42571,24758,12739,22243,1299,972,5318,0,0
381,67741,42216,25525,12949,0,3183,1237,5129,0,19718
382,71712,49598,22114,26063,11252,3842,2404,6037,0,0
383,74187,53855,20332,35453,6394,5337,1915,4539,0,217
384,73181,50010,23171,22745,5268,12036,1396,7930,0,635
385,74320,44788,29532,8752,23208,1639,1136,10053,0,0
386,69066,48045,21021,29112,5690,2157,1504,7042,0,2540
387,86078,45331,40747,6133,0,1867,3838,5033,0,28460
388,72992,42019,30973,4063,28187,1782,4108,3434,0,445
389,74102,49966,24136,4872,26843,11970,4048,2172,0,61
390,77534,47193,30341,13288,18603,1642,1486,11850,0,324
391,72738,51717,21021,31578,5656,4987,1831,7665,0,0
392,81928,52603,29325,28791,9996,2638,2170,8908,0,100
393,61716,32715,29001,3292,17619,1351,603,6106,3099,645
394,61873,32706,29167,5388,18584,1220,1407,6107,0,0
395,71154,45677,25477,16925,19193,1564,1060,6935,0,0
397,86826,57692,29134,27244,17491,3575,2255,6852,0,275
398,89656,58949,30707,27601,0,2309,1936,7803,0,19300
399,68474,45142,23332,10458,27380,1378,1422,4287,0,217
400,74038,55140,18898,33434,4565,7981,2979,6181,0,0
401,62248,47462,14786,23701,12719,2496,1629,4942,1875,100
402,48690,33757,14933,15204,1900,9879,1260,3769,1745,0
404,66985,43242,23743,19691,15101,1612,1395,5358,0,85
405,75820,48250,27570,18776,0,1426,1264,7951,0,18833
408,56097,37135,18962,5691,16270,1173,1185,6094,6722,0
409,72697,49447,23250,27819,6018,4626,2327,8657,0,0
410,68446,47410,21036,28420,5133,3293,2748,7816,0,0
411,73747,52302,21445,29834,11360,2385,1792,6294,0,637
412,79512,57300,22212,34973,4837,8605,2324,6195,0,366
413,67619,42997,24622,15870,16520,1826,1246,7252,0,283
414,58147,35085,23062,6628,19301,2218,1724,5214,0,0
415,64243,39222,25021,6884,19378,4332,3426,4910,0,292
416,67902,44891,23011,10536,20689,4366,1515,7447,0,338
417,56015,35108,20907,9585,14290,2251,887,6466,1231,398
418,62137,40347,21790,13123,16633,1581,1272,6134,1604,0
420,69928,48253,21675,22794,4736,11560,2216,6726,0,221
421,77154,52212,24942,27206,9585,3300,2191,9930,0,0
422,68867,49414,19453,15256,5043,19299,1488,8328,0,0
423,74402,47371,27031,24727,10779,1673,1780,8412,0,0
424,80721,57123,23598,30995,10502,4689,3090,7847,0,0
425,76970,50110,26860,25515,8649,2217,2075,11654,0,0
426,82592,45897,36695,9569,25213,1330,0,9785,0,0
427,59144,39411,19733,16699,13454,1401,1503,6354,0,0
428,61287,38884,22403,16163,12370,1673,1403,7114,0,161
429,85781,60862,24919,36607,10191,3613,2247,8204,0,0
430,64515,43592,20923,19052,14589,1894,1939,5986,0,132
431,74875,48463,26412,11379,19033,6607,6749,4539,0,156
432,60464,35209,25255,7314,0,1475,3473,3501,0,19446
433,65918,35343,30575,7423,19283,847,1088,6542,0,160
434,68987,43465,25522,13761,20697,1532,2345,4900,0,230
435,68037,45749,22288,20827,15945,816,1281,6582,0,298
437,55572,35250,20322,5620,18663,1072,754,5420,3556,165
438,66035,46748,19287,24682,8879,1644,1336,8528,0,1679
